date,text,retweet_count,favorite_count,reply
2021-06-29 20:11:10,b'@olya_borderless Yep. They are also forcing everyone in college to take the vaccine if they want to come back to school. Meanwhile only 50% of CDC employees have been vaccinated. That should be a red flag to everyone. If the CDC isnt fully vaccinated why do I neee to be? Complete bullshit.',0,1,1
2021-06-29 20:05:38,"b'We remain committed to the #COVIDCollegeChallenge, and you can too! Those who submit the reporting form with documentation of their COVID-19 vaccination by Sunday, July 4 will be entered to win a new prize drawing  https://t.co/6zpV9deOOf https://t.co/Axyd4iUILe'",0,0,0
2021-06-29 20:05:26,"b'""Ms. Doshi has been vaccinated against the coronavirus, she received two doses of Covaxin...Columbia has told her she will need to be revaccinated with a different vaccine once she arrives on campus, but no one can say for sure if it is safe to do so.""\nhttps://t.co/P1IbqUurNz'",0,0,1
2021-06-29 20:02:41,"b'@LaurenWynd @NickGrimshaw90 @boredone12 @tomhfh Men get HPV shots to protect women. In fact, I was required to get it to go to college, because even though HPV is largely harmless to men, it causes cervical cancer in women. Thats a vaccine we get to protect other people, and few question it.'",0,0,1
2021-06-29 19:58:05,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 448,1097,\nDose2 Capacity: 338,86,\nDates Available: 30-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
2021-06-29 19:44:25,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 448,1097,\nDose2 Capacity: 338,86,\nDates Available: 30-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
2021-06-29 19:39:24,"b'Pin Code:[411041] \nNavale Medical College\nVaccines: COVISHIELD,\nMin Age Limit: [45,18],\nDose1 Capacity: 448,1098,\nDose2 Capacity: 338,86,\nDates Available: 30-06-2021\n#VACCINE #VACCINEPUNE #COWIN #COVID19 #PUNE'",0,0,0
2021-06-29 19:30:53,b'@AstrosHil @CoreyElliot @astros So you offer a free college course as a prize for getting the vaccine? That seems to cost a lot more expensive than a $20 game ticket and a $1 piece of plastic.',1,0,1
2021-06-29 19:21:13,"b'Research from the ZOE Covid symptom study app, a not-for-profit initiative led by Kings College London, suggests sneezing may be a more common sign of infection for those with both vaccine doses.  https://t.co/0qsEudJB75'",1,0,0
2021-06-29 19:19:40,b'Join these Barton students in the #BartonVaccineChallenge! Get your shot and find out about the Colleges incentive program at https://t.co/5yiROqJykR. Thank you for helping all of us to move toward a mask-free campus. #BartonCollege https://t.co/l3rEbdYMr6',0,1,0
2021-06-29 19:18:10,"b""@GreyKnight8008 @netbacker @TheDavivascaino @hollsterbirt @fadde @voguemagazine @FLOTUS @DrBiden For one thing, she is visiting vaccination sites to give thanks and encouragement to those working and those getting the vaccine. For another, she's still teaching her classes as a college English professor. She's involved in efforts to raise funds for animal charities.""",0,2,1
2021-06-29 19:16:35,"b""@natalinajane @TexasHwyPatrol Operation Summer Crush, they think it's summer and with the vaccine, they expect alot of speeders and drunk hobo college kids.""",0,0,1
2021-06-29 19:16:22,"b'lmao not a COLLEGE ATHLETE mad on facebook that her college is requiring the vaccine,,,, bet my bottom dollar u had to send yr vac records 4 years ago to even be on that team????? this isnt fuckin new oh my god'",0,1,0
2021-06-29 19:15:16,b'College Republicans push back against vaccine mandate | The College Fix https://t.co/pUBdVHoXAl',0,0,0
2021-06-29 19:15:09,"b'UW-Madison refuses to mandate COVID vaccine, ends social distancing, mask requirements | The College Fix https://t.co/B3h2ZglsSE'",0,0,0
2021-06-29 19:14:49,b'Indiana University sued by students over its vaccine requirement | The College Fix https://t.co/V6ZL3fpWza',0,0,0
2021-06-29 19:12:00,"b'Bridget Burke, 22, a college student in Michigan, said she was unsettled by rumors that Covid-19 vaccines could affect her reproductive health. Bryson Hardy, 19, a fiber optic cable splicer from Georgia...https://t.co/zjvuJtrAy7'",0,0,0
2021-06-29 19:10:44,"b""@mcfunny @lizditz @RWMaloneMD @BallouxFrancois He's suddenly being cited by anti-vaxxers on TikTok w the claim that college Covid-19 vaccine requirements are going to kill off my generation. His LinkedIn is now unavailable but I'd looked at it &amp; became suspicious based on more recent work that he could be an Andrew Wakefield.""",0,2,1
